Instance,No_In_Sequence,Class,Freeze,Obstacle,Person,Joint_1_x,Joint_1_y,Joint_1_z,Joint_2_x,Joint_2_y,Joint_2_z,Joint_3_x,Joint_3_y,Joint_3_z,Joint_4_x,Joint_4_y,Joint_4_z,Joint_5_x,Joint_5_y,Joint_5_z,Joint_6_x,Joint_6_y,Joint_6_z,Joint_7_x,Joint_7_y,Joint_7_z,Joint_8_x,Joint_8_y,Joint_8_z,Joint_9_x,Joint_9_y,Joint_9_z,Joint_10_x,Joint_10_y,Joint_10_z,Joint_11_x,Joint_11_y,Joint_11_z,Joint_12_x,Joint_12_y,Joint_12_z,Joint_13_x,Joint_13_y,Joint_13_z,Joint_14_x,Joint_14_y,Joint_14_z,Joint_15_x,Joint_15_y,Joint_15_z,Joint_16_x,Joint_16_y,Joint_16_z,Joint_17_x,Joint_17_y,Joint_17_z
9,17,0,0,0,0,0,0,0,2.0557575757575757,1.0212765957446877,6.0,2.5696969696969694,3.0638297872340488,10.0,2.5696969696969694,16.340425531914896,16.0,9.764848484848486,17.361702127659576,10.0,10.278787878787881,24.510638297872344,20.0,26.724848484848483,12.255319148936174,7.0,28.266666666666666,28.595744680851066,18.0,34.4339393939394,9.191489361702125,18.0,45.22666666666667,19.404255319148938,16.0,38.54545454545454,21.4468085106383,12.0,39.57333333333333,19.404255319148938,11.0,59.1030303030303,27.574468085106385,3.0,60.64484848484848,2.042553191489361,5.0,81.71636363636364,38.808510638297875,18.0,82.23030303030303,5.106382978723403,18.0,31.35030303030303,9.702127659574469,0.0
9,18,0,0,0,0,0,0,0,2.0557575757575757,0.0,1.0,2.0557575757575757,2.5714285714285694,10.0,2.0557575757575757,12.0,20.0,10.278787878787877,15.428571428571423,11.0,10.278787878787877,20.57142857142857,23.0,27.75272727272727,10.285714285714285,2.0,29.294545454545457,21.428571428571427,19.0,34.94787878787879,3.4285714285714306,16.0,45.22666666666667,13.714285714285715,14.0,39.059393939393935,19.71428571428571,16.0,39.57333333333334,17.999999999999996,16.0,58.07515151515151,26.57142857142857,2.0,61.15878787878788,6.857142857142854,2.0,79.66060606060606,44.57142857142857,15.0,82.74424242424242,2.5714285714285765,12.0,32.12121212121212,9.0,1.5
9,19,0,0,0,0,0,0,0,2.0557575757575757,0.0,0.0,2.5696969696969694,2.7169811320754746,8.0,2.0557575757575757,12.679245283018865,25.0,9.25090909090909,18.11320754716981,26.0,10.278787878787881,20.830188679245282,32.0,28.78060606060606,17.207547169811324,21.0,29.294545454545453,18.11320754716981,21.0,37.00363636363637,8.150943396226417,2.0,45.22666666666667,9.05660377358491,4.0,37.00363636363637,22.641509433962263,25.0,38.54545454545454,22.641509433962263,23.0,58.07515151515152,17.207547169811324,13.0,59.6169696969697,11.773584905660378,11.0,74.00727272727273,48.0,13.0,82.23030303030303,10.867924528301884,12.0,33.14909090909091,13.132075471698116,9.5
9,20,0,0,0,0,0,0,0,1.5233532934131735,0.0,2.0,2.031137724550898,3.4285714285714235,9.0,1.015568862275449,21.71428571428571,30.0,9.140119760479042,26.285714285714285,30.0,10.663473053892215,25.142857142857142,34.0,30.9748502994012,12.57142857142857,14.0,30.46706586826347,14.857142857142854,22.0,41.130538922155694,5.714285714285715,6.0,43.16167664670659,3.4285714285714306,7.0,37.57604790419162,22.857142857142854,28.0,38.59161676646707,27.428571428571427,26.0,56.87185628742515,11.428571428571423,6.0,59.41077844311378,22.857142857142854,16.0,71.08982035928143,44.57142857142857,8.0,82.7688622754491,28.57142857142857,7.0,35.798802395209584,10.285714285714285,14.0
9,21,0,0,0,0,0,0,0,2.4795321637426904,1.9199999999999946,7.0,1.9836257309941523,2.8800000000000026,10.0,0.0,14.399999999999999,27.0,9.918128654970761,25.919999999999998,32.0,11.90175438596491,20.159999999999997,32.0,23.803508771929828,26.88,26.0,31.242105263157896,8.639999999999997,10.0,38.18479532163743,16.319999999999997,20.0,42.152046783625735,9.600000000000001,10.0,38.18479532163743,22.08,23.0,40.16842105263158,24.959999999999997,20.0,56.0374269005848,6.719999999999999,7.0,60.50058479532164,27.84,15.0,76.36959064327486,20.159999999999997,12.0,82.32046783625731,38.4,10.0,34.71345029239766,12.48,15.0
9,22,0,0,0,0,0,0,0,2.0809815950920245,0.7384615384615358,4.0,2.0809815950920245,2.2153846153846146,7.0,1.5607361963190183,9.599999999999998,7.0,8.323926380368098,20.676923076923075,7.0,10.404907975460123,14.769230769230766,16.0,24.45153374233129,19.938461538461535,7.0,30.174233128834363,6.646153846153844,6.0,30.694478527607362,8.861538461538458,7.0,40.57914110429448,8.861538461538466,13.0,36.93742331288344,22.89230769230769,4.0,39.538650306748465,19.199999999999996,3.0,58.267484662576685,11.07692307692307,15.0,61.38895705521472,25.84615384615384,3.0,78.55705521472392,2.2153846153846146,28.0,82.71901840490797,39.138461538461534,26.0,30.434355828220863,7.753846153846148,6.5
9,23,0,0,0,0,0,0,0,2.1605095541401274,0.0,0.0,2.1605095541401274,1.4328358208955265,5.0,1.080254777070064,17.194029850746276,9.0,9.182165605095543,20.059701492537314,4.0,10.802547770700638,12.179104477611943,9.0,25.385987261146497,20.776119402985078,5.0,31.327388535031844,6.447761194029852,4.0,32.947770700636944,15.044776119402986,5.0,44.29044585987261,5.014925373134325,8.0,38.34904458598726,22.92537313432836,2.0,39.96942675159236,17.194029850746276,3.0,62.654777070063695,22.92537313432836,3.0,61.0343949044586,10.746268656716424,12.0,82.63949044585986,42.985074626865675,18.0,82.63949044585986,7.164179104477618,27.0,32.1375796178344,10.746268656716424,4.5
9,24,0,0,0,0,0,0,0,1.5899999999999999,1.7454545454545425,5.0,2.65,1.7454545454545496,6.0,1.5900000000000003,19.200000000000003,7.0,9.01,24.436363636363637,3.0,10.07,13.963636363636361,11.0,25.439999999999998,27.05454545454546,5.0,30.21,9.600000000000001,6.0,45.580000000000005,1.7454545454545496,0.0,45.580000000000005,2.6181818181818173,1.0,38.160000000000004,27.92727272727273,5.0,39.75,20.072727272727278,3.0,62.54,17.454545454545457,7.0,62.54,14.83636363636364,7.0,82.14999999999999,19.200000000000003,24.0,76.32,46.25454545454546,14.0,37.895,5.672727272727279,3.0
9,25,0,0,0,0,0,0,0,2.2025974025974024,2.526315789473685,3.0,2.7532467532467533,2.526315789473685,6.0,0.0,24.0,4.0,8.25974025974026,34.10526315789474,3.0,10.462337662337664,20.210526315789473,16.0,24.779220779220775,35.368421052631575,5.0,30.28571428571428,20.210526315789473,12.0,41.84935064935065,8.84210526315789,7.0,46.25454545454545,10.10526315789474,8.0,39.64675324675324,42.94736842105263,7.0,41.298701298701296,27.789473684210527,5.0,62.22337662337662,34.10526315789474,18.0,63.32467532467531,6.315789473684212,4.0,82.04675324675324,45.473684210526315,18.0,80.39480519480519,42.94736842105263,15.0,36.06753246753246,14.526315789473685,9.5
9,26,0,0,0,0,0,0,0,1.59,0.0,3.0,2.12,3.0,8.0,1.59,18.0,9.0,9.009999999999998,28.0,9.0,10.600000000000001,17.0,15.0,26.499999999999996,31.0,3.0,29.15,20.0,15.0,35.510000000000005,11.0,6.0,45.580000000000005,14.0,9.0,38.160000000000004,37.0,7.0,40.28,24.0,6.0,60.42,38.0,18.0,60.95000000000001,8.0,9.0,82.67999999999999,48.0,20.0,82.67999999999999,14.0,18.0,32.330000000000005,15.5,10.5
9,27,0,0,0,0,0,0,0,2.65,0.0,4.0,2.65,1.5737704918032733,8.0,2.12,13.377049180327866,15.0,8.479999999999999,23.606557377049178,11.0,9.540000000000001,11.803278688524593,22.0,25.439999999999998,25.9672131147541,8.0,29.150000000000002,14.950819672131146,18.0,33.92,8.655737704918032,4.0,45.050000000000004,9.442622950819676,2.0,37.63,31.475409836065573,1.0,40.28,19.672131147540984,9.0,58.300000000000004,36.196721311475414,9.0,62.01,11.803278688524593,5.0,80.02999999999999,48.0,14.0,82.14999999999999,4.721311475409834,14.0,31.535000000000004,11.803278688524593,11.0
9,28,0,0,0,0,0,0,0,2.12,0.6760563380281681,2.0,2.12,0.6760563380281681,6.0,0.5299999999999998,12.169014084507047,5.0,8.479999999999999,22.30985915492958,3.0,10.07,10.140845070422536,11.0,24.380000000000003,25.014084507042256,3.0,29.68,8.7887323943662,13.0,37.63,25.690140845070424,2.0,45.050000000000004,4.732394366197184,6.0,37.63,27.718309859154928,6.0,39.75,16.901408450704228,6.0,57.77,29.74647887323944,18.0,60.95,13.521126760563384,3.0,75.78999999999999,47.32394366197183,21.0,82.14999999999999,13.521126760563384,20.0,33.655,17.239436619718308,5.5
9,29,0,0,0,0,0,0,0,2.12,1.4545454545454533,12.0,2.12,0.7272727272727266,25.0,2.12,15.272727272727273,25.0,8.48,25.454545454545457,28.0,10.600000000000001,10.181818181818187,33.0,23.849999999999998,30.545454545454547,13.0,29.15,5.0909090909090935,33.0,33.92,27.636363636363637,21.0,43.99,1.4545454545454533,28.0,36.57,29.81818181818182,15.0,38.690000000000005,18.181818181818183,29.0,57.24,24.0,20.0,60.42,19.63636363636364,21.0,71.55,46.54545454545455,1.0,82.67999999999999,25.454545454545457,2.0,31.535,16.363636363636367,27.0
9,30,0,0,0,0,0,0,0,1.5801242236024846,0.7741935483870961,2.0,2.106832298136646,0.0,0.0,2.6335403726708075,14.70967741935484,10.0,8.954037267080745,28.64516129032258,10.0,10.534161490683228,8.516129032258064,3.0,24.75527950310559,37.935483870967744,30.0,30.022360248447207,1.5483870967741922,3.0,34.76273291925466,34.83870967741935,19.0,41.083229813664595,7.741935483870968,13.0,35.28944099378882,31.741935483870968,15.0,36.869565217391305,18.58064516129032,6.0,56.35776397515528,26.322580645161292,17.0,55.83105590062111,20.129032258064516,13.0,72.68571428571428,40.25806451612903,34.0,82.16645962732919,35.61290322580645,33.0,32.39254658385093,18.193548387096772,11.0
9,31,0,0,0,0,0,0,0,2.1333333333333337,1.391304347826079,1.0,2.1333333333333337,0.0,6.0,2.666666666666667,13.913043478260871,3.0,8.533333333333331,25.739130434782613,6.0,10.133333333333333,6.260869565217391,5.0,25.6,36.173913043478265,24.0,29.333333333333332,0.6956521739130466,2.0,37.86666666666667,32.0,23.0,39.46666666666667,9.043478260869563,6.0,34.666666666666664,28.521739130434785,13.0,36.266666666666666,17.39130434782609,0.0,56.0,16.695652173913047,8.0,59.733333333333334,26.434782608695656,8.0,77.33333333333333,18.086956521739133,28.0,82.13333333333333,38.95652173913044,24.0,33.6,15.65217391304348,10.5
9,32,0,0,0,0,0,0,0,1.6307692307692307,0.0,6.0,1.6307692307692307,0.0,6.0,2.717948717948718,12.0,1.0,9.24102564102564,22.736842105263158,10.0,10.328205128205127,5.684210526315795,9.0,24.461538461538456,27.789473684210527,12.0,29.897435897435894,0.0,7.0,36.96410256410257,29.68421052631579,21.0,41.312820512820515,6.94736842105263,4.0,35.87692307692308,25.894736842105267,9.0,38.05128205128205,15.789473684210527,2.0,58.70769230769231,18.315789473684212,8.0,60.882051282051286,25.894736842105267,6.0,79.36410256410257,15.157894736842103,22.0,82.08205128205128,41.05263157894737,20.0,33.430769230769236,14.842105263157897,7.0
9,33,0,0,0,0,0,0,0,1.6847682119205298,0.7384615384615358,15.0,1.6847682119205298,0.0,13.0,1.6847682119205298,15.507692307692306,6.0,10.10860927152318,25.846153846153843,0.0,10.670198675496689,5.907692307692308,14.0,25.833112582781457,28.799999999999997,1.0,29.764238410596025,0.7384615384615358,15.0,37.62649006622517,33.96923076923076,10.0,45.48874172185431,2.9538461538461576,19.0,38.18807947019867,28.799999999999997,1.0,39.3112582781457,15.507692307692306,6.0,62.89801324503311,22.89230769230769,8.0,63.45960264900663,20.676923076923075,1.0,83.11523178807947,22.15384615384615,13.0,80.86887417218543,45.04615384615384,4.0,33.6953642384106,17.353846153846153,2.5
9,34,0,0,0,0,0,0,0,1.6627450980392158,22.90909090909091,22.0,1.6627450980392158,2.18181818181818,16.0,1.6627450980392158,22.90909090909091,22.0,11.08496732026144,38.18181818181818,22.0,10.530718954248366,8.727272727272727,24.0,26.049673202614375,41.45454545454545,5.0,29.375163398692806,5.454545454545453,26.0,42.67712418300653,48.0,1.0,45.44836601307189,3.2727272727272734,22.0,38.79738562091503,41.45454545454545,1.0,39.90588235294118,21.81818181818182,24.0,60.967320261437905,38.18181818181818,1.0,62.075816993464045,13.090909090909093,10.0,83.13725490196079,44.72727272727273,0.0,75.93202614379085,44.72727272727273,1.0,36.02614379084967,26.727272727272727,12.5
