Instance,No_In_Sequence,Class,Joint_1_x,Joint_1_y,Joint_1_z,Joint_2_x,Joint_2_y,Joint_2_z,Joint_3_x,Joint_3_y,Joint_3_z,Joint_4_x,Joint_4_y,Joint_4_z,Joint_5_x,Joint_5_y,Joint_5_z,Joint_6_x,Joint_6_y,Joint_6_z,Joint_7_x,Joint_7_y,Joint_7_z,Joint_8_x,Joint_8_y,Joint_8_z,Joint_9_x,Joint_9_y,Joint_9_z,Joint_10_x,Joint_10_y,Joint_10_z,Joint_11_x,Joint_11_y,Joint_11_z,Joint_12_x,Joint_12_y,Joint_12_z,Joint_13_x,Joint_13_y,Joint_13_z,Joint_14_x,Joint_14_y,Joint_14_z,Joint_15_x,Joint_15_y,Joint_15_z,Joint_16_x,Joint_16_y,Joint_16_z,Joint_17_x,Joint_17_y,Joint_17_z
42,34,2,50,90,185.0,2,4,12.0,4,11,2.0,2,1,5.0,4,11,2.0,7,0,6.0,13,26,1.0,34,9,8.0,41,31,2.0,60,15,4.0,56,4,6.0,60,5,7.0,61,25,6.0,98,7,4.0,102,19,6.0,137,12,8.0,142,15,5.0
42,35,2,53,82,187.0,3,3,18.0,3,13,2.0,2,1,7.0,3,12,2.0,6,0,6.0,11,28,3.0,35,8,6.0,38,31,5.0,62,13,5.0,30,36,4.0,58,7,7.0,58,27,6.0,98,2,8.0,98,22,6.0,133,4,5.0,139,21,122.0
42,36,2,50,75,192.0,1,2,5.0,2,14,4.0,0,0,0.0,1,13,5.0,9,0,10.0,13,29,8.0,37,9,3.0,37,32,8.0,63,13,1.0,51,3,11.0,57,8,11.0,59,28,6.0,98,3,21.0,97,22,7.0,135,9,7.0,136,25,128.0
42,37,2,57,67,191.0,6,2,5.0,7,19,0.0,6,3,1.0,7,18,1.0,3,2,7.0,6,33,0.0,31,7,9.0,30,39,2.0,55,11,7.0,48,37,2.0,50,13,10.0,51,32,7.0,89,10,18.0,86,23,5.0,127,9,12.0,127,30,126.0
42,38,2,57,65,191.0,6,1,5.0,5,17,5.0,3,3,3.0,6,17,4.0,4,1,3.0,8,31,2.0,31,9,6.0,33,36,2.0,54,13,4.0,45,29,5.0,51,11,9.0,52,29,6.0,89,10,26.0,87,23,3.0,126,11,11.0,126,20,54.0
42,39,2,99,52,184.0,45,12,11.0,45,28,8.0,44,14,8.0,45,28,8.0,36,12,3.0,32,41,6.0,8,2,1.0,7,45,6.0,14,3,4.0,4,42,7.0,9,20,0.0,11,39,5.0,48,17,31.0,48,32,0.0,85,20,4.0,86,31,25.0
42,40,2,60,82,194.0,2,16,2.0,3,2,2.0,3,16,1.0,4,2,3.0,4,18,6.0,10,11,5.0,28,27,9.0,33,14,2.0,51,34,5.0,39,19,9.0,50,13,8.0,53,4,5.0,85,19,49.0,88,4,10.0,118,18,54.0,118,10,20.0
42,41,2,59,64,196.0,4,4,10.0,2,14,0.0,2,0,1.0,2,14,0.0,5,1,4.0,11,25,3.0,30,12,10.0,35,28,4.0,52,17,7.0,43,8,7.0,53,0,9.0,56,18,5.0,85,8,52.0,90,12,31.0,122,4,79.0,121,8,23.0
42,42,2,64,57,195.0,4,1,6.0,7,15,9.0,5,3,4.0,6,15,6.0,1,3,4.0,8,28,2.0,25,8,3.0,31,28,0.0,48,14,5.0,43,5,7.0,46,6,6.0,49,22,4.0,80,3,51.0,84,18,32.0,114,2,85.0,117,14,13.0
42,43,2,61,54,199.0,2,1,2.0,2,13,5.0,2,0,1.0,3,12,5.0,6,1,3.0,11,25,2.0,31,10,6.0,34,28,3.0,54,14,6.0,47,24,2.0,47,4,8.0,49,21,4.0,80,3,51.0,83,13,49.0,117,6,85.0,117,16,20.0
42,44,2,68,45,192.0,4,0,2.0,11,18,16.0,9,3,5.0,10,15,13.0,1,1,0.0,3,29,12.0,22,7,2.0,31,31,6.0,46,10,0.0,41,24,4.0,43,8,4.0,46,25,4.0,78,4,48.0,79,19,46.0,108,6,90.0,109,21,47.0
42,45,2,59,38,191.0,1,0,1.0,2,18,12.0,0,5,3.0,2,18,12.0,8,4,2.0,12,32,17.0,29,1,0.0,37,34,12.0,52,7,2.0,50,30,9.0,50,12,7.0,52,28,8.0,81,10,42.0,81,21,45.0,107,4,87.0,109,19,77.0
42,46,2,156,281,154.0,7,0,8.0,3,4,7.0,7,0,8.0,4,3,6.0,11,0,10.0,0,11,8.0,2,1,2.0,3,1,3.0,5,0,5.0,6,49,25.0,10,30,0.0,20,79,27.0,2,0,2.0,9,3,6.0,15,61,28.0,15,61,28.0
42,47,2,65,37,194.0,5,0,2.0,63,49,2.0,4,2,7.0,6,11,15.0,4,3,2.0,8,26,16.0,24,2,1.0,30,30,9.0,38,0,3.0,45,25,9.0,44,7,4.0,46,22,7.0,75,3,42.0,75,17,48.0,94,2,42.0,95,14,48.0
42,48,2,63,34,190.0,1,2,5.0,4,18,28.0,1,4,7.0,3,16,25.0,7,7,6.0,13,28,20.0,29,1,6.0,36,29,14.0,43,1,3.0,50,24,13.0,47,7,7.0,49,22,11.0,74,0,31.0,77,14,41.0,99,8,73.0,99,9,62.0
42,61,2,158,281,151.0,2,1,4.0,0,2,1.0,5,7,1.0,3,3,6.0,15,19,6.0,4,8,9.0,12,26,3.0,14,59,37.0,12,26,3.0,158,293,28.0,13,59,38.0,11,17,29.0,158,293,28.0,15,13,30.0,52,59,15.0,49,57,14.0
42,63,2,156,281,154.0,6,1,9.0,5,2,9.0,6,1,9.0,7,2,10.0,3,16,7.0,8,16,25.0,3,1,5.0,11,59,40.0,18,48,24.0,16,35,27.0,12,48,27.0,16,45,27.0,8,104,27.0,15,59,24.0,8,103,26.0,16,86,26.0
43,3,2,66,34,190.0,0,1,2.0,4,4,14.0,1,3,8.0,1,10,28.0,12,6,12.0,10,6,12.0,31,10,19.0,30,9,19.0,49,12,20.0,49,12,20.0,47,2,3.0,49,8,3.0,69,1,21.0,67,6,20.0,77,0,36.0,90,9,46.0
